topic_no	test_statistic	p-value	topic_words
topic_12	46.26519986907716	0.0	oui dire monsieur chose voulez savez homme crois quelque jamais 
topic_48	29.266843917640863	6.414539539779317e-182	fit voix yeux demanda vers tête regard répondit main jeune 
topic_28	27.8346005430025	3.0738163858418717e-165	femme jeune pouvait fille toujours jamais yeux faisait temps toute 
topic_05	26.97936552067982	1.9365380946658454e-155	pu pouvait jamais toute personne doute temps raison dû homme 
topic_13	24.114247984600468	3.5379471098627504e-124	inspecteur finch pendlebury wexford wagstaffe demanda répondit withers carella pascoe 
topic_37	23.438760636461083	5.833913244327576e-118	commissaire mme monsieur avocat crime maître todhunter témoin président affaire 
topic_42	16.777299779563027	2.2959723054513283e-62	corps police inspecteur victime cadavre empreintes enquête crime bureau meurtre 
topic_01	14.915577603961163	8.837138535127944e-50	yudel tante weizmann cramer frost meecham oncle docteur tête voir 
topic_46	13.452054586911132	6.34934505664462e-41	docteur médecin dr hôpital infirmière malade step clinique cush gallois 
topic_39	12.21690949334773	3.93501703477154e-34	heures téléphone heure bureau chez oui soir police numéro voix 
topic_29	10.148662259064746	4.452020020819944e-24	cayley hartford gayleigh toke stockler fit herrington dover selmer carrier 
topic_31	9.936052729739014	3.5505908519929543e-23	lettre papier bureau lettres enveloppe nom journal livre photo écrit 
topic_32	9.517312267240525	2.079756120614162e-21	ahorn cheval bix homme thorp ohihani chevaux whittaker hommes fen 
topic_40	9.227206005463344	3.1924802685824753e-20	dis demandai puis vis fit yeux vers pris tête savais 
topic_09	5.9900904374586705	2.1568141824249235e-09	mc mareuil talolahti lieutenant booster belliard mongeot pj shadduk caluci 
topic_33	4.4770833358122815	7.630560420545089e-06	porte chambre lit fenêtre escalier nuit bruit couloir cuisine étage 
topic_44	3.258879999908605	0.00112146759597676	sern donahoo foley harpur mellick tendre fit houghton ça beecher 
topic_00	2.742049595547509	0.006114572641440594	musique scène trois leurs homme théâtre soir jeu orchestre danse 
topic_02	-0.8972950031081479	0.3695761640710178	ministre pays howie président mengele guerre suisse politique directeur juifs 
topic_23	-0.8989589253064107	0.36868850883396753	legs commissaire gi gier fit monsieur augie oui hommes giaffino 
topic_03	-2.778051576916235	0.005474685005768287	fit puis demanda vers main yeux tête ça regarda prit 
topic_47	-3.297540805219171	0.000977857989185613	grouchko ça byrum fleck thayer mccain boldo rudge bender américain 
topic_19	-3.9226381430025814	8.790912092417375e-05	père grand église mère curé prêtre histoire quelques guerre algérie 
topic_16	-3.9878035662175604	6.701046626856186e-05	table verre café cuisine bouteille eau manger heures boire soir 
topic_17	-4.1359130667771264	3.552037579521272e-05	père mère jamais enfants fille grand enfant jour femme parents 
topic_06	-5.313592519752177	1.088303893408826e-07	laube leprat main toujours doutre oui murmura sernine quelque hermantier 
topic_08	-5.356285876081061	8.56870770563915e-08	nom femme dab holt fellows homme appelé voiture quelques flics 
topic_24	-5.782205276927149	7.508711573097627e-09	devant porte derrière murs quelques leurs vers grande entre place 
topic_18	-6.825280478124619	8.998905431940939e-12	bone steemer deal zoulou colonel piggot betts comiti homme slaughter 
topic_35	-7.40531727924745	1.3534855101793187e-13	feston tennison gaunt veilleux homme massart anglais hommes otley shaddermacher 
topic_30	-8.330798411534348	8.684511091502211e-17	eau mer vers vent route bois terre chemin loin arbres 
topic_11	-9.006691187208594	2.34706586096586e-19	ça dollars cinq cent vingt dix jamais trois banque type 
topic_26	-9.063589615869514	1.3904430111582463e-19	monsieur madame gunn mme ça sieur bain grand buny pauvre 
topic_38	-11.85269911934017	2.7784392674842093e-32	main tête puis vers contre yeux fit homme mains visage 
topic_27	-11.930891275403601	1.091731524332362e-32	leurs temps autres quelques entre toujours toutes travail jamais années 
topic_22	-13.510721020253712	2.1335154070858426e-41	voiture route devant volant portière arrière voitures côté derrière moteur 
topic_21	-15.589815035579504	1.4564138303572436e-54	laviolette devant volnay campion morts commissaire throgmorton trois homme nuit 
topic_07	-16.40952472906976	5.105830754916872e-60	ça veux dire dis oui chose quoi faut jamais peux 
topic_14	-19.732700723354334	5.162599951263195e-86	train hommes trois avion gare heures quai autres wagon homme 
topic_36	-20.58006782634957	2.9199743703959223e-93	ça puis tête pris yeux demandé dire jamais main faisait 
topic_15	-21.05424925343126	1.1937619775177287e-97	cadin inspecteur ça vers près commissaire mendip viper place dès 
topic_49	-22.493861829434813	7.548337931556003e-111	ça quoi merde gueule mec grand flics dire genre type 
topic_45	-23.743778143544805	2.715630236784394e-123	cheveux yeux homme fille visage ça portait jeune chemise bleu 
topic_10	-25.09965063779708	4.928967087835321e-137	ça kite malaussène monsieur coudrier commissaire tête inspecteur silistri divisionnaire 
topic_04	-25.55253154608839	4.6262408025577025e-142	adamsberg danglard commissaire demanda homme veyrenc ça retancourt oui trois 
topic_34	-26.878030389244273	6.239765842487363e-157	maigret commissaire femme homme bureau toujours temps heure oui vers 
topic_43	-27.7284799683292	1.2032101074286582e-166	vers main yeux puis tête regarde porte devant demande lève 
topic_41	-29.668102034984784	7.03123451197813e-190	yeux corps nuit leurs jour voix visage toute entre jamais 
topic_20	-31.012043085631994	1.527674863601473e-206	ça béru dis demande quoi grand faut bérurier puis gars 
topic_25	-31.585800646614494	5.759099123270916e-214	ça oui dis type nom faroux toujours quoi chez hein 
