topic_no	test_statistic	p-value	topic_words
topic_33	42.96800603909484	0.0	pouvoir dire luire savoir quelque vouloir celer voir devoir aller 
topic_32	29.48912232497554	6.891679967532938e-185	pouvoir tuer crime meurtre trouver celui luire aucun devoir police 
topic_53	28.53498812244346	6.69871231265601e-173	dire oncle aller jeune venir devoir monsieur voir pouvoir celer 
topic_51	25.428777184379772	3.613299811378715e-139	dire pouvoir savoir vouloir voir aller luire croire tuer parler 
topic_99	22.34859323915071	1.4134716849968483e-108	luire femme mme aimer jamais prendre devoir toujours homme monsieur 
topic_18	19.601740867051433	2.519630382256375e-84	dire voir savoir pouvoir luire aller oui vouloir quelque heure 
topic_02	18.898067715598984	2.412281426903991e-78	finch dire docteur inspecteur celer femme houghton trevarrow pouvoir homme 
topic_85	16.619584284868647	3.152910784706249e-61	wexford todhunter step brandshaft luire dire hartford blackie burden delft 
topic_36	16.520575633576573	1.0317705293194772e-60	monsieur inspecteur commissaire oui dire policier police bureau homme mme 
topic_03	16.22705684979356	1.2234486169438845e-58	père luire mère fille frère pouvoir enfant jamais femme grand 
topic_40	15.676271229822122	8.988392538151955e-55	tennison dire aller demander otley maleval équipe bureau verhœven savoir 
topic_37	14.401299517140083	1.5112259763038305e-46	thursday mme vialles dire mlle clapp cochart whitewell tarrant monestier 
topic_35	12.998247964012657	2.547008314525385e-38	dire grouchko chose homme dover bowers degarmon pouvoir estivar crofts 
topic_20	12.015506462582561	4.693939135515793e-33	colonel lherbier plessis dancourt monsieur patinay aller march giraudas lorsque 
topic_95	11.960386146468338	8.371017493830999e-33	lettre écrire papier lire enveloppe feuille bureau luire trouver nom 
topic_11	11.81696845439655	4.861483256407999e-32	inspecteur frost heure cramer bencolin monsieur répondre pr fen baumann 
topic_50	11.480916296285814	2.5259936566289496e-30	pendlebury wagstaffe inspecteur holmes giaffino fayrer wiggins homme dire pouvoir 
topic_31	11.45947700998689	3.1884350069097704e-30	merrivale campion directeur monsieur bewlay celer pouvoir oui masters dupont 
topic_28	9.417753407068817	5.3252026860270174e-21	kite yard homme inspecteur jeune street meurtre chaubouret scotland luire 
topic_25	8.976168546326596	3.210718883934627e-19	gunn talolahti dire bain lockwood jacoby stu monsieur degerman hôtel 
topic_68	8.796140754792226	1.611377277987496e-18	throgmorton toke haslett greening hedlam zwang cour thomdyke pouvoir homme 
topic_45	8.723098566989677	3.033784552395852e-18	bateau mer cabine pont bord île port eau quai caldwell 
topic_39	8.589100825135123	9.578968953765533e-18	docteur médecin infirmier hôpital dr malade luire devoir service aller 
topic_15	8.196359466276828	2.744661901347311e-16	sernine monsieur fombieux quade mongougeot club holz fauteuil eventreur powell 
topic_08	7.398231182361296	1.4615651669682184e-13	président suisse directeur lorsque monsieur jeune conseil politique grand banque 
topic_75	7.1408794248121445	9.784539415499179e-13	steemer foley comiti beecher casteljal heap filby tooley tabora dogtinder 
topic_56	7.046825482007394	1.925997348667105e-12	luire meecham withers femme pouvoir jeune loftus biff air boisson 
topic_94	6.3061852757217585	2.9444654813625303e-10	avocat prison dire témoin monsieur luire byrum pouvoir thayer président 
topic_52	6.083876417461587	1.1990997795027606e-09	lieutenant dire biggs commandant himmelblau mc dulières innés homme graylop 
topic_96	5.055379060849524	4.3382292759725747e-07	volnay tante gamadge celer loureiro père éon étrange dr robineau 
topic_91	4.972560586300417	6.680319563853568e-07	livre journal lire article écrire photo titre journaliste nom celui 
topic_64	4.778253185774209	1.783395784280575e-06	porte ouvrir pouvoir chambre fenêtre entendre entrer voir escalier aller 
topic_17	4.605708175609876	4.149600605487069e-06	dire école professeur classe subito mirmidou patay gessler élève sieur 
topic_49	3.7491604440429236	0.00017804914615651119	porte grand mur chambre entrer fauteuil salon ouvrir étage appartement 
