topic_no	test_statistic	p-value	topic_words
topic_23	42.980026526816104	0.0	luire pouvoir jeune femme quelque devoir venir prendre dire voir 
topic_14	32.81506294132714	6.071363238607135e-226	pouvoir crime trouver tuer celer devoir dire celui assassin personne 
topic_17	25.640630051821677	7.347986175883034e-142	dire pouvoir savoir voir aller vouloir luire chose oui quelque 
topic_03	24.8980636241877	3.343028225970841e-133	monsieur mme commissaire dire oui pouvoir aller vouloir voir venir 
topic_48	22.077289305245973	1.6886683854522714e-105	finch wexford homme voir heure inspecteur piggot saivre femme bencolin 
topic_40	21.917648792811917	7.975159981792519e-105	luire pouvoir savoir dire vouloir devoir croire celer jamais aller 
topic_11	18.992090922790172	4.594981969365859e-79	pendlebury grouchko todhunter wagstaffe inspecteur lenormant monsieur dire homme celui 
topic_39	16.538106955948127	1.0196391050546549e-60	dire voir pouvoir aller gi luire sernine quelque demander vers 
topic_04	16.48338396205601	1.6292890548714365e-60	inspecteur police pouvoir bureau homme heure affaire luire policier aller 
topic_13	14.908166192833136	8.020344639712647e-50	feston homme dire campion pouvoir hartford gayleigh anglais toke pr 
topic_09	13.95544720969768	5.761846404276518e-44	lettre papier pouvoir bureau écrire trouver lire luire enveloppe prendre 
topic_27	12.436096251350637	2.5700831393306266e-35	docteur médecin pouvoir dr infirmier luire hôpital malade dire devoir 
topic_01	10.208355919007342	2.349055220160976e-24	gaunt faucon cayley merrivale celer bewlay gamadge monsieur club masters 
topic_28	7.349948367717539	2.0885497914722175e-13	président barran avocat témoin monsieur propp juré maître accusé devant 
topic_26	4.213037699010705	2.5323971313395256e-05	dire luire pouvoir aller oeil main regarder vouloir tête savoir 
topic_49	3.657694738160768	0.0002553943989626241	heure carella savoir pouvoir fellows bureau dancourt femme fille commissaire 
topic_33	3.58486799959538	0.00033829755688446925	film scène jouer musique dire théâtre voir vers aller cinéma 
topic_44	3.2814105932685957	0.0010349977988720425	téléphone dire pouvoir luire aller heure voix appeler oui numéro 
topic_45	1.7095005511258015	0.0873779441940857	dire byrum thayer voir luire aller dobbs dab caldwell savoir 
topic_15	0.2182596218738676	0.8272288733300897	aller luire howie gallois quelque jeune mc vouloir voix attendre 
topic_24	-0.08228543180737975	0.9344206744704916	porte ouvrir pouvoir chambre fenêtre quelque escalier entrer trouver mur 
topic_37	-1.5205033037231843	0.12839564837636208	ahorn homme femme cribb luire enfant ohihani peau celui combat 
topic_31	-1.5551436737129407	0.11992963194230981	heure aller luire pouvoir nuit chambre dire prendre passer lit 
topic_08	-2.7247961593550385	0.0064397554212681845	grand mur entrer fenêtre celui devant voir quelque jardin lequel 
topic_21	-3.1817178907501704	0.0014655084960511786	dire femme luire appeler bonape mère nom meecham homme victime 
topic_43	-3.5052554338851594	0.0004573131465476038	verre dire boire table aller bouteille luire café manger prendre 
topic_41	-5.607356928861386	2.0792757493007932e-08	dire aller luire voir main savoir pouvoir vouloir quelque sentir 
topic_38	-7.134449781473837	1.0094999235439301e-12	pouvoir chien eau quelque route arbre bois terre chemin mètre 
topic_25	-7.3072558508134255	2.795375042105012e-13	dire yudel luire voir femme vandoosler savoir pouvoir demander type 
topic_42	-7.344096602716501	2.1374760343320326e-13	bateau mer eau bord pont île homme port vers heure 
topic_47	-7.678322763232826	1.663450401121787e-14	dire luire jusque gardella donahoo lorsque flic quelque pascoe vouloir 
topic_00	-9.513075241650473	2.025422017378351e-21	père luire mère enfant dire aller fille savoir voir pouvoir 
topic_35	-11.291923044994716	1.7083714584914032e-29	guerre pays français allemand américain juif suisse homme politique mengele 
topic_34	-12.241961586118464	2.449090862386065e-34	luire oeil homme main femme cheveu noir visage grand sourire 
topic_12	-12.475968113963013	1.337466216357918e-35	pouvoir quelque grand celui temps année jour travail livre nouveau 
topic_30	-14.209710003271592	1.1539928062965317e-45	grand père celui homme jour venir château église luire cimetière 
topic_16	-14.584478418556307	5.920062505247533e-48	dire aller pouvoir savoir voir luire vouloir quoi foutre mettre 
topic_05	-17.603781988593806	6.57256836236201e-69	voiture route pouvoir aller prendre luire arrêter vers devant passer 
topic_07	-17.73842236603287	4.2893830750956e-70	dire cheval laviolette luire gunn devant voir vers course aller 
topic_06	-20.376644474332277	1.4710251464085337e-91	luire main pouvoir aller tête homme tirer vers mettre arme 
topic_32	-22.80923095580374	4.9638648966971164e-114	terrier sern volnay cush homme mendip viper dire augagneur épaulard 
topic_18	-23.99847290237823	3.062986689063385e-126	dire aller voir falloir pouvoir grand vouloir gars foutre savoir 
topic_10	-24.096263043213195	4.78540919547941e-127	dire aller pouvoir luire savoir vouloir voir mettre type falloir 
topic_20	-24.781965440199077	5.144341959857638e-134	pouvoir luire oeil corps sentir quelque main visage nuit seul 
topic_19	-27.451468696848863	4.484961065547345e-164	maigret luire voir celer femme heure savoir homme aller commissaire 
topic_29	-28.108354387857446	3.0195900200045077e-171	adamsberg dire danglard luire homme savoir celer pouvoir commissaire demander 
topic_02	-28.278320164040935	2.133007282117285e-173	bone malaussène monsieur tête main luire coudrier zoulou commissaire flic 
topic_46	-29.93917089659698	3.1261491620440504e-194	dire aller oui savoir voir devoir vouloir luire quelque celui 
topic_36	-33.48341254410285	5.838730624280688e-241	cadin luire venir vers inspecteur prendre près mettre kite passer 
topic_22	-34.45176931070293	8.789434026249782e-255	aller dire luire savoir grand quoi demande falloir voir venir 
