word	topic	prob
tante	49	0.06918
oncle	49	0.06708
celer	49	0.02719
père	49	0.01921
cousin	49	0.0171
lorsque	49	0.0113
regarder	49	0.00913
voiture	49	0.00862
prendre	49	0.00817
sœur	49	0.00798
testament	7	0.05301
thurston	7	0.03056
notaire	7	0.02367
chambre	7	0.01304
fellowes	7	0.01286
hériter	7	0.01276
corde	7	0.01248
strickland	7	0.01062
noirot	7	0.0096
monsieur	7	0.00941
avion	24	0.02177
français	24	0.01935
heure	24	0.01207
trois	24	0.0111
photo	24	0.01042
jour	24	0.00936
hôtel	24	0.00931
fille	24	0.00912
américain	24	0.00835
holridge	24	0.00811
inspecteur	55	0.00989
oui	55	0.00759
type	55	0.00757
grand	55	0.00733
quoi	55	0.00656
tenir	55	0.00581
gars	55	0.00536
flic	55	0.00523
tête	55	0.00519
nez	55	0.00474
