idno	author-name	translation	num-authors	author-gender	author-nationality	author-birth-death	book-title	publ-first	publ-edition	publ-ref	publ-decade	publisher	series	collection	subgenre	type	ISBN	translator(s)	title-original	publ-original	references	text-length	language	size	timeSlot	reprintCount	UB_new
AlexanderD_Tour	Alexander, David	yes	1	M	USA		La tour, prends garde...	1954	1992		1950s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2256-X	Catelot, G.-A.		1953		52169	fra	short	T0	unspecified	
Allingham_Maison	Allingham, Margery	yes	1	F	GBR		La maison des morts étranges		1999		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2940-8	Samuel, P.				54085	fra	medium	T0	unspecified	
Amelin_Jardins	Amelin, Michel	no	1	M	FRA		Les jardins du casino		1989		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1879-1					40977	fra	short	T0	unspecified	
Amos_Casa	Amos, Alan	yes	1	M	USA		La casa paraiso		1953		1950s	Le Masque		Romans d'aventures	policier	populaire						43487	fra	short	T0	unspecified	
Amos_Sucre	Amos, Alan	yes	1	M	USA		Sucre de canne		1958		1950s	Le Masque		Romans d'aventures	policier	populaire						57353	fra	medium	T0	unspecified	
Andreota_Pieuvre	Andreota, Paul	no	1	M	FRA		La pieuvre		1989		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1892-9					64414	fra	medium	T0	unspecified	
Andreota_Zigzags	Andreota, Paul	no	1	M	FRA		Zigzags		1989		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1964-X					45152	fra	short	T0	unspecified	
Bachellerie_Ile	Bachellerie, Louise	no	1	F	FRA		L'île aux muettes		1985		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1613-6					45681	fra	short	T0	unspecified	
Bachellerie_Rue	Bachellerie, Louise	no	1	F	FRA		La rue des bons apôtres		1985		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1661-6					40767	fra	short	T0	unspecified	
Barnard_Attachement	Barnard, Robert	yes	1	M	GBR		Attachement fatal		1995		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2435-X	Hamel, Annie				58249	fra	medium	T0	unspecified	
Barr_Empreinte	Barr, Nevada	yes	1	F	USA		L'empreinte du fauve		1996		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2685-9					83088	fra	medium	T0	unspecified	
Barr_Feu	Barr, Nevada	yes	1	F	USA		Le feu du ciel		1997		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2755-3					91891	fra	medium	T0	unspecified	
Barrington_Femme	Barrington, Paméla	yes	1	F	GBR		Une femme très douce		1969		1960s	Le Masque		Romans d'aventures	policier	populaire		Navarro, Marie-Louise				49015	fra	short	T0	unspecified	
Beeding_Numero	Beeding, Francis	yes	1	F	GBR		Le numéro gagnant		1984		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1519-9	Vabre, Marguerite				46804	fra	short	T0	unspecified	
Benzimra_Revoir	Benzimra, André	no	1	M	FRA		Pour te revoir, Jonathan		1983		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1454-0					54293	fra	short	T0	unspecified	
BenzimraABenzimraJ_Finir	Benzimra, André / Benzimra, Jacqueline	no	2	mixed	FRA		Et finir en beauté		1964	1964	1960s	Le Masque		Romans d'aventures	policier	populaire	(unknown)										
Berkeley_Erreur	Berkeley, Anthony	yes	1	M	GBR		Une erreur judiciaire		1987		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1761-2					60196	fra	medium	T0	unspecified	
Bird_Sandra	Bird	yes	1	M	GBR		Sandra	1971	1971		1970s	Librairie des Champs-Élysées		Le Masque	policier	populaire						43814	fra	short	T0	unspecified	
Blackmon_Assassine	Blackmon, Anita	yes	1	F	USA		On assassine au Richelieu		1988		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1795-7	Ferraris, Gabrielle		1937		61894	fra	medium	T0	unspecified	
BoileauNarcejac_Ombre	Boileau, Pierre / Narcejac, Thomas	no	1	M	FRA		L'ombre et la proie	1951	1984		1950s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1496-6					45146	fra	short	T0	unspecified	
Bouhier_Portrait	Bouhier, Florence	no	1	F	FRA		Portrait de l'artiste en assassin		1999		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2934-3					51477	fra	short	T0	unspecified	
Branch_Lion	Branch, Pamela	yes	1	F	GBR		Un lion dans la cave		1993		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2337-X	Le Gall, M.A.		1951		63487	fra	medium	T0	unspecified	
Bruce_Trois	Bruce, Leo	yes	1	M	GBR		Trois détectives		1985		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1658-6					54935	fra	medium	T0	unspecified	
Carmichael_Bar	Carmichael, Harry	yes	1	M	GBR		Au bar des trois plumes	1970	1970		1970s	Librairie des Champs-Élysées		Le Masque	policier	populaire						39493	fra	short	T0	unspecified	
Carmichael_Belle	Carmichael, Harry	yes	1	M	GBR		La belle au bois mourant	1970	1970		1970s	Librairie des Champs-Élysées		Le Masque	policier	populaire						39493	fra	short	T0	unspecified	
Carr_Maison	Carr, John Dickson	yes	1	M	USA		La maison de la terreur		1988		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1793-0	Delval, Léo		1946		76018	fra	medium	T0	unspecified	
Carr_Manoir	Carr, John Dickson	yes	1	M	USA		Le manoir de la mort		1991		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2167-9	Monrocq, Dominique				91705	fra	medium	T0	unspecified	
Carr_Marie	Carr, John Dickson	yes	1	M	USA		Le marié perd la tête		1985		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1655-1	Rey, Jean-André et Claudine		1930		64189	fra	medium	T0	unspecified	
Carr_Service	Carr, John Dickson	yes	1	M	USA		Service des affaires inclassables		1988		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1802-3			1940		74987	fra	medium	T0	unspecified	
Cerignac_Moliere	de Cérignac, Dominique	no	1	F	FRA		On tue chez Molière	1995	1995		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2609-3					64412	fra	medium	T0	unspecified	
Cheron_Assassin	Chéron, Bertrand	no	1	M	FRA		L'assassin viendra à l'aube	1975	1975		1970s	Librairie des Champs-Élysées		Le Masque	policier	populaire	2-7024-0364-6					33059	fra	short	T0	unspecified	
Cody_Tete	Cody, Liza	yes	1	F	GBR		Sans la tête		1998		1990s	Le Masque		Romans d'aventures	policier	populaire	2-7024-2861-4	Retaillaud, Julien				95522	fra	medium	T0	unspecified	
Cornwell_Postmortem	Cornwell, Patricia	yes	1	F	USA		Postmortem		1992		1990s	Le Masque		Romans d'aventures	policier	populaire	2-70-24-2255-1	Berton, Gilles				92431	fra	medium	T0	unspecified	
Coupon_Pluie	Coupon, Henry	no	1	M	FRA		La pluie et le beau temps	1977	1977		1970s	Librairie des Champs-Élysées		Le Masque	policier	populaire	2-7024-0677-7					45859	fra	short	T0	unspecified	
Creasey_Sang	Creasey, John	yes	1	M	GBR		Du sang sur les rails	1970	1970		1970s	Librairie des Champs-Élysées		Le Masque	policier	populaire						45409	fra	short	T0	unspecified	
Crispin_Prelude	Crispin, Edmund	yes	1	M	GBR		Prélude et mort d'Isolde		1988		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1845-7	André, Jean / Rey, Claudine		1986		56482	fra	medium	T0	unspecified	
Culpan_Dauphin	Culpan, Maurice	yes	1	M	GBR		Au dauphin vert		1968		1960s	Le Masque		Romans d'aventures	policier	populaire						38181	fra	short	T0	unspecified	
Daly_Tome	Daly, Elizabeth	yes	1	F	USA		Le tome II a disparu		1964		1960s	Le Masque		Romans d'aventures	policier	populaire						26968	fra	short	T0	unspecified	
daNatividadeGaspar_Corps	da Natividade Gaspar, José	yes	1	M	PRT		Les corps sans âme		1988		1980s	Le Masque		Romans d'aventures	policier	populaire	2-7024-1851-1	Falcoz, André & Maslowski, Igor B.				54690	fra	medium	T0	unspecified	
