idno	author-short	title-short	identifier	author-name	wikidata-id	translation	num-authors	author-gender	author-nationality	author-birth-death	book-title	publ-first	publ-edition	publ-ref	publ-decade	publisher	series	collection	subgenre	type	ISBN	translator(s)	title-original	publ-original	references	text-length	language	size	timeSlot	reprintCount	targetcorpus
Pouy_Petite	Pouy	Petite	Pouy_Petite	Pouy, Jean-Bernard	https://www.wikidata.org/wiki/Q1684705	no	1	M	FRA		Le Petite Écuyère a cafté	1995			1990s				policier	populaire						36797	fra	short	T0	unspecified	no
Kotzwinkle_Fata	Kotzwinkle	Fata	Kotzwinkle_Fata	Kotzwinkle, William	https://www.wikidata.org/wiki/Q639538	yes	1	M			Fata Morgana		1988		1980s	Rivages		Rivages/Mystère	policier	populaire	2-86930-096-4	Gratias, Jean-Paul		1977		57221	fra	medium	T0	unspecified	no
Kane_Cuisine	Kane	Cuisine	Kane_Cuisine	Kane, Henry		yes	1	M			La cuisine infernale		1966		1960s	Gallimard		Série noire	policier	populaire		Berg, M.				56087	fra	medium	T0	unspecified	no
Ryck_Drole	Ryck	Drole	Ryck_Drole	Ryck, Francis	https://www.wikidata.org/wiki/Q544562	no	1	M	FRA		Drole Pistolet	1969			1960s				policier	populaire						50957	fra	medium	T0	unspecified	no
BoileauNarcejac_Malefices	BoileauNarcejac	Malefices	BoileauNarcejac_Malefices	Boileau, Pierre / Narcejac, Thomas		no	1	M	FRA		Maléfices	1961	1985		1960s	Gallimard		Folio	policier	populaire	2-07-037662-1					56791	fra	medium	T0	unspecified	no
Lay_Sommier	Lay	Sommier	Lay_Sommier	Lay, André	https://www.wikidata.org/wiki/Q19945126	no	1	M	FRA		Le sommier		1964		1960s	Fleuve Noir		Roman Special-Police	policier	populaire						31622	fra	short	T0	unspecified	no
Martinez_Domaine	Martinez	Domaine	Martinez_Domaine	Amila, Jean		no	1	M			Le Boucher des Hurlus	1982	1982		1980s				policier							52865	fra	medium	T0	unspecified	no
Dard_Trempe	Dard	Trempe	Dard_Trempe	Dard, Frédéric		no	1	M	FRA		Trempe ton Pain dans la soupe	1999			1990s				policier	populaire						38652	fra	short	T0	unspecified	no
Dessaint_Vie	Dessaint	Vie	Dessaint_Vie	Dessaint, Pascal	https://www.wikidata.org/wiki/Q3367368	no	1	M	FRA		La vie n'est pas une punition		1995		1990s	Rivages		Rivages/Noir	policier	populaire	2-86930-970-8					58318	fra	medium	T0	unspecified	no
Ryck_Heures	Ryck	Heures	Ryck_Heures	Ryck, Francis	https://www.wikidata.org/wiki/Q544562	no	1	M	FRA		Heures Ouvrables	1963			1960s				policier	populaire						51260	fra	medium	T0	unspecified	no
